VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Meena Naik,74,f,0
2,1,Imran Khan,50,m,0
3,1,Nandini Nayak,38,f,0
4,2,Rekha Hegde,14,f,0
5,2,Meena Kumar,22,f,0
6,3,Savitha Naik,22,f,0
7,3,Usha Naik,26,f,0
8,3,Arun Sharma,14,m,0
9,4,Manjunath Gowda,51,m,0
10,5,Pushpa Sharma,5,f,0
11,5,Prakash Sharma,12,m,0
12,5,Pushpa Patil,61,f,0
13,6,Suresh Gowda,48,m,0
14,6,Meena Kumar,46,f,0
15,6,Sunitha Gowda,50,f,0
16,7,Meena Kumar,10,f,0
17,7,Santhosh Kumar,65,m,0
18,8,Ganesh Kumar,56,m,0
19,8,Suma Naik,62,f,0
20,9,Priya Khan,49,f,0
21,9,Ganesh Shetty,70,m,0
22,10,Kavitha Rao,38,f,0
23,10,Rajesh Kumar,50,m,0
24,10,Rajesh Patil,69,m,0
25,11,Sunitha Gowda,44,f,0
26,12,Sunitha Kumar,41,f,0
27,13,Chandana Nayak,29,f,0
28,13,Deepa Hegde,39,f,0
29,14,Venkatesh Shetty,27,m,0
30,15,Venkatesh Naik,40,m,0
31,16,Lakshmi Nayak,30,f,0
32,16,Chandana Naik,63,f,0
33,17,Nagaraj Gowda,5,m,0
34,17,Lakshmi Singh,48,f,0
35,18,Ganesh Reddy,23,m,0
36,18,Kiran Reddy,53,m,0
37,19,Syed Kumar,70,m,0
38,19,Priya Rao,20,f,0
39,19,Lakshmi Kumar,28,f,0
40,20,Rashmi Shetty,18,f,0
41,21,Santhosh Nayak,16,m,0
42,21,Deepa Sharma,57,f,0
43,21,Arun Nair,63,m,0
44,22,Meena Singh,72,f,0
45,22,Deepa Sharma,25,f,0
46,22,Rajesh Sharma,50,m,0
47,23,Imran Khan,73,m,0
48,24,Pushpa Gowda,63,f,0
49,24,Imran Naik,72,m,0
50,25,Anitha Gowda,11,f,0
51,25,Ganesh Kumar,75,m,0
52,26,Lokesh Sharma,35,m,0
53,27,Nagaraj Naik,35,m,0
54,28,Prakash Nair,34,m,0
55,29,Chandana Rao,31,f,0
56,29,Suma Sharma,57,f,0
57,29,Chandana Rao,40,f,0
58,30,Arun Shetty,33,m,0
59,30,Prakash Khan,25,m,0
60,31,Venkatesh Kumar,41,m,0
61,31,Suresh Singh,17,m,0
62,32,Syed Nair,58,m,0
63,32,Arjun Rao,75,m,0
64,33,Ganesh Kumar,47,m,0
65,33,Savitha Patil,23,f,0
66,34,Mahesh Kumar,30,m,0
67,34,Ravi Rao,64,m,0
68,35,Usha Shetty,33,f,0
69,36,Rekha Singh,75,f,0
70,36,Nagaraj Nair,16,m,0
71,37,Rashmi Gowda,71,f,0
72,37,Prakash Naik,14,m,1
73,37,Usha Nair,59,f,0
74,38,Usha Patil,7,f,1
75,38,Venkatesh Khan,60,m,0
76,39,Priya Patil,42,f,0
77,40,Venkatesh Sharma,5,m,0
78,41,Farhan Naik,55,m,0
79,41,Pushpa Singh,45,f,0
80,42,Syed Patil,56,m,0
81,42,Arjun Kumar,20,m,0
82,43,Imran Patil,11,m,0
83,43,Meena Kumar,48,f,0
84,44,Rashmi Gowda,24,f,0
85,44,Deepa Naik,30,f,0
86,44,Lakshmi Rao,60,f,0
87,45,Venkatesh Reddy,26,m,0
88,46,Kiran Rao,50,m,0
89,46,Prakash Kumar,49,m,0
90,46,Nagaraj Kumar,7,m,0
91,47,Mohan Nair,6,m,0
92,48,Sunitha Nayak,62,f,0
93,48,Sunitha Hegde,9,f,0
94,48,Sunitha Shetty,50,f,0
95,49,Meena Nair,5,f,0
96,50,Arun Hegde,30,m,0
97,50,Mahesh Khan,5,m,0
98,50,Lakshmi Reddy,21,f,0
99,51,Imran Singh,44,m,0
100,51,Rashmi Shetty,21,f,0
101,51,Lokesh Naik,63,m,0
102,52,Deepa Rao,37,f,0
103,52,Deepa Kumar,39,f,0
104,53,Kiran Sharma,55,m,0
105,53,Vijay Nayak,50,m,0
106,53,Rekha Nayak,60,f,1
107,54,Pushpa Gowda,40,f,0
108,54,Rajesh Nayak,50,m,0
109,55,Imran Nair,8,m,0
110,55,Lokesh Kumar,33,m,0
111,56,Syed Rao,54,m,0
112,57,Ravi Nayak,73,m,0
113,57,Vijay Patil,66,m,0
114,58,Nandini Patil,38,f,1
115,58,Nandini Khan,12,f,0
116,58,Chandana Rao,51,f,0
117,59,Lakshmi Sharma,33,f,0
118,59,Priya Nair,16,f,0
119,60,Meena Shetty,37,f,0
120,60,Ravi Gowda,44,m,0
121,60,Chandana Sharma,52,f,0
122,61,Suresh Rao,18,m,0
123,61,Anitha Nair,71,f,0
124,62,Meena Kumar,58,f,0
125,62,Usha Sharma,31,f,0
126,63,Prakash Nayak,55,m,0
127,64,Rekha Shetty,32,f,1
128,64,Ravi Hegde,73,m,0
129,64,Usha Naik,11,f,0
130,65,Ravi Singh,9,m,0
131,66,Arjun Singh,43,m,0
132,66,Rashmi Khan,42,f,0
133,67,Priya Naik,58,f,0
134,68,Syed Kumar,59,m,0
135,68,Lokesh Nayak,70,m,1
136,69,Kavitha Kumar,65,f,1
137,69,Nagaraj Sharma,5,m,0
138,70,Deepa Sharma,33,f,0
139,70,Ravi Khan,28,m,0
140,70,Usha Shetty,62,f,0
141,71,Ravi Sharma,59,m,0
142,72,Savitha Hegde,61,f,0
143,72,Rajesh Nayak,12,m,0
144,72,Syed Hegde,74,m,0
145,73,Rajesh Singh,31,m,0
146,73,Meena Gowda,10,f,0
147,74,Priya Khan,34,f,0
148,74,Suresh Kumar,70,m,0
149,74,Suresh Sharma,67,m,0
